DateTime,MacAddress,Station,LAN,SDCard,RGBLed,WIFI,Button,ErrCode,ErrMessage,Judged
2018/08/20 12:04:12,A4F4C2909091,PCBA-LAYER2,NONE,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 12:04:28,A4F4C2909091,PCBA-LAYER2,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 12:06:54,A4F4C2909091,PCBA-LAYER2,NONE,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 12:09:14,A4F4C2909091,PCBA-LAYER2,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 12:29:21,A4F4C2909102,PCBA-LAYER2,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 12:31:34,A4F4C2909091,PCBA-LAYER2,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 16:16:03,A4F4C2909091,PCBA-LAYER2,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 16:19:53,A4F4C2909091,PCBA-LAYER2,PASS,X,X,X,X,-,-,PASS
2018/08/20 16:20:14,A4F4C2909090,PCBA-LAYER2,PASS,X,X,X,X,-,-,PASS
2018/08/20 16:20:42,A4F4C2909091,PCBA-LAYER2,PASS,X,X,X,X,-,-,PASS
2018/08/20 16:21:29,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:22:15,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:22:20,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:22:40,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:22:48,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:05,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:11,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:45,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:52,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:55,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:57,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:23:59,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:00,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:03,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:06,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:08,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:10,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:25,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:27,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:29,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:32,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:24:44,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:25:04,A4F4C2909091,PCBA-LAYER2,X,PASS,X,X,X,-,-,PASS
2018/08/20 16:32:04,A4F4C2909091,PCBA-LAYER2,X,X,X,PASS,X,-,-,PASS
2018/08/20 16:32:36,A4F4C2909091,PCBA-LAYER2,X,X,X,PASS,X,-,-,PASS
2018/08/20 16:32:53,A4F4C2909091,PCBA-LAYER2,X,X,X,PASS,X,-,-,PASS
2018/08/20 16:33:28,A4F4C2909091,PCBA-LAYER2,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 16:33:36,A4F4C2909091,PCBA-LAYER2,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 16:34:13,A4F4C2909091,PCBA-LAYER2,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 16:36:03,A4F4C2909091,PCBA-LAYER2,PASS,PASS,PASS,PASS,PASS,-,-,PASS
